customer_id,customer_name,email,country,signup_date,total_revenue,payment_count,refund_count,average_payment_value,refund_rate,is_active,plan
46,CHRISTOPHER BROWN DDS,danielhall@example.net,United Kingdom,2023-08-31,1195.00,15,0,79.67,0.0,1,Pro
50,katelyn oneill,james62@example.com,Unknown,2024-03-15,1515.00,15,0,101.0,0.0,1,Enterprise
54,Devon Pollard,jcollins@example.org,Canada,2026-02-12,1348.00,12,0,112.33,0.0,1,Basic
60,Cynthia Strong,ijordan@example.net,Canada,,564.00,6,0,94.0,0.0,1,Basic
61,CHARLES HERNANDEZ,cookjuan@example.org,Canada,2026-05-14,946.00,15,1,63.07,0.0667,1,Pro
62,ana martinez,james27@example.net,Canada,2026-05-16,1034.00,17,1,60.82,0.0588,1,Pro
63,Ronald Marshall,silvaemma@example.net,United Kingdom,2024-12-10,1307.00,13,0,100.54,0.0,1,Enterprise
66,Mr. William Edwards,elizabeth22@example.org,Canada,2025-10-19,1050.00,11,1,95.45,0.0909,1,Pro
69,Gary Jackson,juliecurtis@example.org,United Kingdom,2026-03-16,1195.00,15,0,79.67,0.0,1,Enterprise
72,Monica Riley,morgangeorge@example.com,United Kingdom,,892.00,8,0,111.5,0.0,1,Pro
74,david blake,erice@example.org,Canada,2025-11-10,995.00,15,0,66.33,0.0,1,Basic
75,Julie Anderson,josevargas@example.com,Unknown,2025-06-06,519.00,12,1,43.25,0.0833,1,Enterprise
78,Joshua Benitez,stokesandrew@example.com,United Kingdom,2024-05-09,303.00,7,0,43.29,0.0,1,Enterprise
79,MRS. CATHERINE THOMPSON,ortizchristopher@example.com,Canada,2026-05-23,618.00,12,0,51.5,0.0,1,Enterprise
80,amy gonzales,julia40@example.com,United States,,958.00,12,0,79.83,0.0,1,Pro
81,Kenneth Lewis,sandrawilliams@example.org,United States,2025-10-12,511.00,9,0,56.78,0.0,1,Basic
82,MICHELLE SMITH,justin06@example.org,United States,2025-11-21,382.00,8,0,47.75,0.0,1,Basic
83,joel hartman,annette08@example.org,United States,2024-03-20,274.00,6,0,45.67,0.0,1,Basic
84,Scott Patterson,hernandezdiane@example.net,United Kingdom,,543.00,7,0,77.57,0.0,1,Basic
85,DANIELLE SELLERS,kchandler@example.com,United States,2026-03-28,1274.00,16,0,79.63,0.0,1,Basic
86,kenneth smith,mcleanamy@example.org,United Kingdom,2023-07-12,502.00,9,1,55.78,0.1111,1,Basic
87,Deborah Sanchez,egibson@example.com,United Kingdom,2026-01-13,274.00,6,0,45.67,0.0,1,Basic
88,STACEY OLSON MD,lisa40@example.net,United Kingdom,,1353.00,17,0,79.59,0.0,1,Basic
89,steven mcmillan,thomas72@example.com,United Kingdom,2025-08-14,523.00,8,1,65.38,0.125,1,Pro
93,Samantha Mccarthy,kristinandrews@example.net,United Kingdom,2025-02-11,1104.00,17,1,64.94,0.0588,1,Basic
94,KYLE FLOYD,jennifer18@example.net,United Kingdom,2024-02-23,871.00,11,2,79.18,0.1818,1,Basic
96,John Curry,glennlaura@example.org,United States,,1684.00,16,0,105.25,0.0,1,Enterprise
99,Nicole Bailey,westrobert@example.org,United Kingdom,2023-10-21,1216.00,14,0,86.86,0.0,1,Basic
104,emily vazquez,mcdanieljoseph@example.net,Canada,,1207.00,13,0,92.85,0.0,1,Basic
106,BRENT DAVIS,cfranklin@example.com,Canada,2024-04-04,1436.00,14,0,102.57,0.0,1,Enterprise
108,Susan Bradley,lindajohnson@example.org,United Kingdom,,1174.00,16,0,73.38,0.0,1,Pro
110,kristen anderson,judith75@example.org,United States,2026-01-14,1116.00,14,0,79.71,0.0,1,Basic
111,Christy Rodriguez,franciscomason@example.net,United States,2025-10-09,1116.00,14,0,79.71,0.0,1,Pro
112,CYNTHIA BROWN,jenniferwillis@example.com,United States,,510.00,10,0,51.0,0.0,1,Enterprise
114,Courtney Bauer,marciaolsen@example.org,Canada,2025-05-14,788.00,12,0,65.67,0.0,1,Pro
115,RODNEY GIBSON,mallorylopez@example.net,Canada,2023-09-23,929.00,12,1,77.42,0.0833,1,Pro
116,kara mercer,johnnyvelazquez@example.com,United States,,722.00,8,0,90.25,0.0,1,Basic
118,SARAH STEWART,rogerstyler@example.net,Canada,2025-07-01,1423.00,17,0,83.71,0.0,1,Pro
119,rebecca silva,mckinneybrittany@example.net,Canada,2025-01-13,1204.00,16,0,75.25,0.0,1,Enterprise
120,Chelsea Russell,zvelez@example.net,United States,,452.00,8,0,56.5,0.0,1,Enterprise
121,ZACHARY GREENE,susan59@example.org,Canada,2024-03-18,1046.00,14,0,74.71,0.0,1,Pro
122,paul thompson,bethanymccoy@example.com,Canada,2024-12-25,1154.00,16,0,72.13,0.0,1,Basic
129,Cheryl Oneal,sierrahoward@example.com,United States,2023-10-15,1336.00,15,1,89.07,0.0667,1,Basic
131,rebecca vasquez,fwhite@example.net,United States,2024-10-30,581.00,9,0,64.56,0.0,1,Basic
133,JASMINE BLACK,brianwalsh@example.net,Canada,2025-07-04,859.00,12,1,71.58,0.0833,1,Basic
134,beverly pierce,ygarcia@example.net,United States,2025-02-28,1543.00,17,0,90.76,0.0,1,Enterprise
135,Mario Mitchell,qtran@example.org,United Kingdom,2024-01-09,967.00,13,0,74.38,0.0,1,Basic
136,VINCENT CHANDLER,amynelson@example.org,United States,,1170.00,10,0,117.0,0.0,1,Basic
137,dr. andrew taylor,thomasaaron@example.net,United Kingdom,2024-12-14,780.00,10,0,78.0,0.0,1,Basic
138,David Dyer,melissa13@example.com,United States,2024-12-05,1116.00,14,0,79.71,0.0,1,Pro
143,bryan williams,pauldiaz@example.org,United Kingdom,2026-03-08,1137.00,13,0,87.46,0.0,1,Basic
144,Julie Coleman,matthew20@example.net,Canada,,656.00,15,1,43.73,0.0667,1,Pro
145,DAVID JOHNSON,justin80@example.org,United Kingdom,2025-03-29,726.00,14,0,51.86,0.0,1,Pro
147,Lisa Harris,camposamy@example.com,Canada,2024-03-24,801.00,9,0,89.0,0.0,1,Pro
148,MATTHEW HARPER,khernandez@example.org,United States,,1913.00,17,0,112.53,0.0,1,Basic
154,JEAN OLIVER,danielle23@example.net,Canada,2024-01-24,1225.00,16,1,76.56,0.0625,1,Pro
155,allen clark,kerrydonaldson@example.org,Canada,2025-10-29,631.00,10,1,63.1,0.1,1,Basic
156,Katie Gill,william86@example.net,Canada,,1075.00,16,1,67.19,0.0625,1,Enterprise
158,mr. justin martin,robert75@example.net,United States,2026-05-12,821.00,9,0,91.22,0.0,1,Pro
159,Kimberly Kane,sherrygrimes@example.org,United Kingdom,2024-06-29,1157.00,13,0,89.0,0.0,1,Basic
160,MICHAEL DAVIS,ycohen@example.org,United Kingdom,,722.00,8,0,90.25,0.0,1,Pro
161,william golden,paulharris@example.com,United States,2024-12-24,864.00,16,0,54.0,0.0,1,Basic
162,Amy Jensen,danalopez@example.net,United Kingdom,2023-10-18,531.00,10,1,53.1,0.1,1,Pro
163,GLENN WHITE,russellkara@example.com,United States,2025-10-13,689.00,12,1,57.42,0.0833,1,Pro
164,amanda moreno,russell87@example.com,United States,,1448.00,12,0,120.67,0.0,1,Enterprise
165,Jennifer Foster,debra60@example.org,United Kingdom,2024-03-07,469.00,11,0,42.64,0.0,1,Enterprise
167,matthew hancock,lisamorgan@example.com,Canada,2024-12-19,402.00,8,0,50.25,0.0,1,Basic
173,todd brown,klee@example.org,Canada,2023-12-29,1029.00,12,1,85.75,0.0833,1,Pro
174,Erik Norman,evanscory@example.com,United States,2025-07-28,253.00,7,0,36.14,0.0,1,Basic
175,JAMES CHANDLER,elizabeth36@example.com,Unknown,2025-08-14,1146.00,14,0,81.86,0.0,1,Pro
176,michelle jenkins,lmoreno@example.com,United Kingdom,,643.00,7,0,91.86,0.0,1,Pro
178,JENNIFER LOPEZ,jessica65@example.net,Canada,2026-04-08,324.00,6,0,54.0,0.0,1,Basic
180,Sean Jenkins,ashley40@example.org,United States,,1435.00,15,0,95.67,0.0,1,Basic
182,nicole day,juliethompson@example.org,Canada,2023-11-09,784.00,6,0,130.67,0.0,1,Pro
183,Johnny Sloan,singletoncarlos@example.com,United States,2024-09-03,983.00,17,0,57.82,0.0,1,Basic
187,EMILY MILLER,richard53@example.net,United States,2026-02-23,1266.00,15,1,84.4,0.0667,1,Basic
189,Raymond Gamble,thomas65@example.net,United States,2025-03-23,847.00,13,0,65.15,0.0,1,Basic
192,Bill Barnes,haydendaniel@example.net,United Kingdom,,1079.00,11,0,98.09,0.0,1,Pro
193,DAVID MAYO,gary40@example.com,United Kingdom,2025-06-27,988.00,13,1,76.0,0.0769,1,Basic
194,benjamin brown,annasaunders@example.net,United States,2025-11-23,1386.00,14,0,99.0,0.0,1,Basic
198,Renee Savage,hjones@example.com,Canada,2025-09-22,797.00,13,0,61.31,0.0,1,Basic
199,SAMUEL CAMPBELL MD,hansonkevin@example.net,United States,2025-04-16,1352.00,18,0,75.11,0.0,1,Pro
200,eric herrera,jbanks@example.com,Unknown,,854.00,6,0,142.33,0.0,1,Basic
201,Jesse Patel,amyball@example.com,Canada,2026-03-02,967.00,13,0,74.38,0.0,1,Enterprise
203,theresa anderson,qfrazier@example.net,United Kingdom,2023-08-03,1913.00,17,0,112.53,0.0,1,Pro
205,EMILY HOFFMAN,ybush@example.net,United States,2024-06-29,490.00,10,0,49.0,0.0,1,Pro
206,lisa lara,ztaylor@example.com,United States,2025-03-18,1444.00,16,0,90.25,0.0,1,Enterprise
207,Keith Gibson,smiller@example.net,United States,2025-11-11,1016.00,14,0,72.57,0.0,1,Enterprise
208,CRAIG LOPEZ,jennifer91@example.com,United Kingdom,,614.00,6,0,102.33,0.0,1,Enterprise
211,JOHN GOODMAN,joshua12@example.com,Canada,2025-08-15,1494.00,17,1,87.88,0.0588,1,Basic
212,mariah joseph,watkinsallison@example.org,United States,,502.00,8,0,62.75,0.0,1,Basic
214,BRADLEY CUMMINGS,davisariel@example.net,Canada,2025-12-22,879.00,11,0,79.91,0.0,1,Basic
217,GARY HANCOCK,vramirez@example.org,United States,2023-10-17,1203.00,18,1,66.83,0.0556,1,Basic
219,Norma Greene,evansryan@example.com,Canada,2026-01-26,303.00,8,1,37.88,0.125,1,Pro
222,James Rice,eric23@example.com,United States,2025-03-06,850.00,10,0,85.0,0.0,1,Enterprise
223,ANDREW CHEN,mark92@example.org,United Kingdom,2024-10-17,639.00,11,0,58.09,0.0,1,Enterprise
225,James Burke,smithrichard@example.com,Unknown,2024-10-25,224.00,6,0,37.33,0.0,1,Basic
226,ROBERTO HUMPHREY,romanbrandon@example.net,United Kingdom,2025-10-11,531.00,9,0,59.0,0.0,1,Basic
227,kiara hull,lowerycarlos@example.org,United States,2025-10-09,888.00,12,0,74.0,0.0,1,Pro
229,JAMES HARRIS,johnathandiaz@example.com,United Kingdom,2025-11-24,921.00,9,0,102.33,0.0,1,Enterprise
230,mr. timothy williamson dds,vreed@example.org,United Kingdom,2025-02-05,805.00,15,0,53.67,0.0,1,Basic
232,RACHEL GLOVER,sweeneyamy@example.com,Canada,,689.00,11,0,62.64,0.0,1,Enterprise
233,karen christensen,taragarrett@example.com,United Kingdom,2025-09-14,1369.00,11,0,124.45,0.0,1,Basic
234,John Copeland,ramireztracy@example.org,United States,2026-04-02,1174.00,16,0,73.38,0.0,1,Enterprise
235,SCOTT DAVIS,zchapman@example.net,United Kingdom,2025-05-22,1282.00,18,0,71.22,0.0,1,Basic
238,WILLIAM CHEN,sjordan@example.org,United Kingdom,2026-05-03,601.00,9,0,66.78,0.0,1,Basic
242,kristin elliott,leonardthompson@example.org,United Kingdom,2026-05-05,481.00,10,1,48.1,0.1,1,Basic
243,Randall Lowery,whitney18@example.com,United States,2025-10-17,618.00,13,1,47.54,0.0769,1,Pro
245,karen nguyen,vicki69@example.org,United States,2023-09-14,1394.00,16,0,87.13,0.0,1,Enterprise
247,DONNA SHARP,smithjames@example.net,Canada,2025-04-12,374.00,6,0,62.33,0.0,1,Basic
248,mr. brian cherry jr.,donna94@example.net,United States,,660.00,10,0,66.0,0.0,1,Enterprise
249,Kyle Wilkerson,camposerik@example.org,United Kingdom,2023-11-05,253.00,7,0,36.14,0.0,1,Basic
251,michael webb,jacobtorres@example.org,United Kingdom,2024-02-04,859.00,11,0,78.09,0.0,1,Pro
252,Brian Smith,katie27@example.com,United Kingdom,,780.00,12,2,65.0,0.1667,1,Basic
254,michele gould,othompson@example.com,United Kingdom,2023-07-10,822.00,8,0,102.75,0.0,1,Basic
257,francisco bowen,nunezstephanie@example.net,United States,2025-03-11,859.00,12,1,71.58,0.0833,1,Enterprise
259,JACQUELINE SCOTT,stevenmathews@example.net,United Kingdom,2024-10-14,1415.00,15,0,94.33,0.0,1,Basic
260,kristin garcia,jordan40@example.com,United States,,1087.00,13,0,83.62,0.0,1,Pro
261,Alyssa Lucas,nrodriguez@example.org,United Kingdom,2024-06-20,482.00,8,0,60.25,0.0,1,Pro
263,gary cannon,sgonzalez@example.com,United States,2023-11-17,423.00,7,0,60.43,0.0,1,Basic
268,DR. MEGAN MENDOZA,adavis@example.com,United States,,485.00,16,1,30.31,0.0625,1,Basic
269,brittany hernandez,rosegordon@example.com,United States,2025-06-26,1336.00,14,0,95.43,0.0,1,Pro
271,CHRISTOPHER CLARKE,kathy12@example.com,Canada,2024-08-09,868.00,12,0,72.33,0.0,1,Basic
275,andrew owens,dbrown@example.net,Unknown,2023-07-19,1166.00,14,0,83.29,0.0,1,Enterprise
277,EDDIE WALL,jlyons@example.org,United States,2025-07-14,444.00,6,0,74.0,0.0,1,Pro
278,shelby wallace,washingtonjacqueline@example.org,United States,2025-08-11,1005.00,16,1,62.81,0.0625,1,Basic
279,James Jackson,john18@example.com,United States,2024-11-13,581.00,9,0,64.56,0.0,1,Basic
280,TRACI BROWN,esolis@example.com,Canada,,797.00,13,0,61.31,0.0,1,Enterprise
281,daniel hamilton md,oturner@example.com,Canada,2024-09-22,1000.00,10,0,100.0,0.0,1,Pro
282,John Ochoa,murraymitchell@example.net,United States,2023-09-10,1113.00,18,1,61.83,0.0556,1,Pro
283,JACOB PRICE,elizabethgibson@example.net,United States,2023-10-01,461.00,9,0,51.22,0.0,1,Pro
285,Anthony Wilson,slivingston@example.net,Canada,2025-10-06,1029.00,11,0,93.55,0.0,1,Pro
286,LISA HAYES,michael53@example.com,United Kingdom,2025-03-30,643.00,7,0,91.86,0.0,1,Basic
287,jesse king,danielsrachel@example.com,United Kingdom,2024-11-13,900.00,11,1,81.82,0.0909,1,Basic
289,CONNIE FLORES,patricia69@example.org,Canada,2025-02-26,560.00,11,1,50.91,0.0909,1,Basic
293,janet ramirez,karenbishop@example.net,United Kingdom,2024-06-21,1386.00,14,0,99.0,0.0,1,Basic
301,DAVID FLEMING,fletcherlinda@example.org,United States,2024-05-11,817.00,13,0,62.85,0.0,1,Pro
305,lindsey howe,sean26@example.org,United States,2024-10-12,1623.00,17,0,95.47,0.0,1,Enterprise
306,Sarah Mitchell,proberts@example.net,United States,2025-10-03,523.00,7,0,74.71,0.0,1,Basic
309,Christopher Mclaughlin,mitchelljennifer@example.net,Canada,2025-03-05,494.00,6,0,82.33,0.0,1,Pro
310,TAMMY CRAIG,rebecca92@example.org,United States,2025-02-15,1092.00,18,0,60.67,0.0,1,Basic
311,stephanie jackson,tiffany95@example.com,United States,2025-05-07,394.00,6,0,65.67,0.0,1,Pro
313,JENNIFER JOHNSON,jstewart@example.net,United States,2024-10-16,850.00,10,0,85.0,0.0,1,Pro
314,garrett foster,jbrown@example.net,United States,2024-02-26,1373.00,17,0,80.76,0.0,1,Enterprise
316,JENNIFER RAMIREZ,jordankaren@example.org,United Kingdom,,875.00,16,1,54.69,0.0625,1,Basic
317,robert ball,jamesbarker@example.net,Canada,2024-06-24,1046.00,14,0,74.71,0.0,1,Basic
321,Amy Myers,maldonadojonathan@example.org,United States,2024-10-22,1133.00,18,1,62.94,0.0556,1,Pro
323,harry owens,cheryl65@example.com,United Kingdom,2024-04-22,1108.00,12,0,92.33,0.0,1,Basic
325,MICHAEL CAMPBELL,malonedanielle@example.net,Unknown,2024-10-28,1523.00,18,1,84.61,0.0556,1,Enterprise
327,Tammy Lopez DVM,danielsmary@example.net,United Kingdom,2026-04-16,726.00,14,0,51.86,0.0,1,Pro
328,TRAVIS MAYER,jamie47@example.org,United Kingdom,,751.00,9,0,83.44,0.0,1,Enterprise
329,victoria shields,berrygary@example.net,United States,2025-09-28,1166.00,14,0,83.29,0.0,1,Basic
330,Ashley Rodriguez,pdavidson@example.org,United States,2025-10-17,631.00,9,0,70.11,0.0,1,Basic
336,Thomas Thompson,contrerasdebra@example.org,Canada,,432.00,8,0,54.0,0.0,1,Pro
338,michelle arellano,acamacho@example.net,Canada,2023-06-28,490.00,11,1,44.55,0.0909,1,Basic
339,Jeffrey Stevenson,steven76@example.com,United Kingdom,2023-12-12,660.00,10,0,66.0,0.0,1,Enterprise
341,thomas gill,jennifernorris@example.com,United Kingdom,2026-04-20,796.00,14,0,56.86,0.0,1,Basic
343,CHRISTOPHER OWENS,reeddamon@example.org,Canada,2025-04-18,1128.00,12,0,94.0,0.0,1,Basic
347,nicholas russell,leah97@example.com,United Kingdom,2024-01-24,888.00,13,1,68.31,0.0769,1,Basic
349,AMANDA KELLER,william71@example.net,United States,2025-02-14,482.00,8,0,60.25,0.0,1,Pro
351,Patrick Hernandez,mdominguez@example.com,United States,2023-11-22,988.00,13,1,76.0,0.0769,1,Pro
353,peter hayden,thomaspeters@example.com,United States,2024-08-05,166.00,6,2,27.67,0.3333,1,Basic
354,Thomas Cervantes,kelsey89@example.org,Canada,2025-11-03,1017.00,13,0,78.23,0.0,1,Basic
355,JORDAN JENKINS DVM,lgibbs@example.com,Canada,2025-01-01,876.00,14,0,62.57,0.0,1,Enterprise
362,john cook,umontgomery@example.net,Canada,2025-10-13,764.00,16,0,47.75,0.0,1,Basic
364,CHRISTINE FRANCO,foxalexandria@example.net,United States,,1096.00,16,2,68.5,0.125,1,Basic
365,carla poole,collinswilliam@example.org,United States,2023-09-08,1054.00,17,1,62.0,0.0588,1,Basic
366,Michelle Johnson,thomashannah@example.org,United Kingdom,2023-11-03,1348.00,12,0,112.33,0.0,1,Basic
369,Charles Anderson,martinezpamela@example.com,United States,2024-08-04,581.00,9,0,64.56,0.0,1,Enterprise
372,Patricia Jones,chavezkara@example.com,United States,,452.00,8,0,56.5,0.0,1,Basic
373,SAMANTHA NORRIS,nancy94@example.org,United Kingdom,2026-02-13,514.00,6,0,85.67,0.0,1,Pro
374,dr. victoria solis,kimberlyjackson@example.com,United Kingdom,2023-09-05,224.00,6,0,37.33,0.0,1,Pro
375,Karen Gross,vwinters@example.net,Unknown,2026-04-15,1054.00,17,1,62.0,0.0588,1,Basic
376,CASSIDY PIERCE,bgreen@example.net,United States,,224.00,6,0,37.33,0.0,1,Pro
377,cheryl smith,imurphy@example.net,United States,2023-09-12,1050.00,10,0,105.0,0.0,1,Basic
378,Sarah Wood,marypope@example.net,United States,2024-09-29,1315.00,16,1,82.19,0.0625,1,Basic
380,dr. thomas bailey,riverahoward@example.com,Canada,,846.00,15,1,56.4,0.0667,1,Basic
383,tina campbell,dbuck@example.net,United Kingdom,2023-11-06,1307.00,13,0,100.54,0.0,1,Basic
385,MRS. OLIVIA REEVES MD,lisa30@example.net,Canada,2024-08-15,955.00,16,1,59.69,0.0625,1,Basic
386,eric parks,jonathan71@example.net,United States,2026-05-21,1406.00,14,0,100.43,0.0,1,Pro
387,Lauren Jackson,graytravis@example.net,United States,2025-04-04,1029.00,11,0,93.55,0.0,1,Basic
389,cynthia woodard,matthew66@example.org,United States,2025-11-15,274.00,7,1,39.14,0.1429,1,Basic
390,Monica Smith MD,carsonalicia@example.org,United States,2025-08-26,1046.00,14,0,74.71,0.0,1,Basic
392,james white,martinlauren@example.org,United States,,1195.00,16,1,74.69,0.0625,1,Enterprise
393,Jeffrey Thornton,megan11@example.net,United Kingdom,2025-07-20,411.00,9,0,45.67,0.0,1,Enterprise
394,MICHAEL FLOYD,christopherballard@example.net,United States,2023-10-23,1075.00,15,0,71.67,0.0,1,Basic
395,rebecca cook,timothylewis@example.com,Canada,2025-02-22,722.00,8,0,90.25,0.0,1,Basic
397,SEAN DYER,evansdaniel@example.org,Canada,2024-12-10,573.00,7,0,81.86,0.0,1,Basic
398,john lee,brennanmichael@example.com,United States,2025-04-14,502.00,8,0,62.75,0.0,1,Basic
400,JAKE ELLIOTT,jamie23@example.com,Unknown,,1095.00,15,0,73.0,0.0,1,Basic
401,michael conner,lewisbonnie@example.com,Canada,2025-10-11,643.00,7,0,91.86,0.0,1,Basic
403,EVAN WRIGHT,lhall@example.net,Canada,2026-03-14,274.00,6,0,45.67,0.0,1,Enterprise
405,Susan Powers,roberthale@example.com,Canada,2025-01-24,842.00,10,2,84.2,0.2,1,Pro
407,amanda cochran,bullockbrent@example.net,United States,2026-02-28,1075.00,15,0,71.67,0.0,1,Enterprise
408,Shawn Osborne,martinezchristine@example.com,United States,,876.00,15,1,58.4,0.0667,1,Basic
412,TREVOR LYONS,upayne@example.net,United Kingdom,,1153.00,17,0,67.82,0.0,1,Basic
414,Matthew Burns,dominiqueluna@example.net,Canada,2025-07-23,1166.00,15,1,77.73,0.0667,1,Pro
415,ROBERT TUCKER,jwilson@example.org,Canada,2024-01-20,631.00,9,0,70.11,0.0,1,Pro
419,taylor mitchell,qjones@example.com,United States,2025-06-06,781.00,9,0,86.78,0.0,1,Pro
420,Kayla Hamilton,benderadam@example.org,United Kingdom,,315.00,6,1,52.5,0.1667,1,Basic
421,MICHELLE CLARK,ryanmyers@example.org,United Kingdom,2025-01-05,1083.00,18,1,60.17,0.0556,1,Basic
426,Steven Baker,rwilliams@example.com,Canada,2023-07-11,921.00,9,0,102.33,0.0,1,Basic
428,matthew clark,garciawilliam@example.org,United States,,423.00,7,0,60.43,0.0,1,Pro
431,douglas fisher,gweber@example.net,Canada,2024-08-17,382.00,8,0,47.75,0.0,1,Enterprise
433,NATALIE WILLIAMS MD,hdavis@example.org,United States,2024-09-21,739.00,11,0,67.18,0.0,1,Basic
435,Vanessa Williams,jenkinsmarvin@example.com,United Kingdom,2026-04-22,523.00,7,0,74.71,0.0,1,Basic
436,CARMEN ANDERSON DDS,caseyjamie@example.com,United States,,718.00,13,1,55.23,0.0769,1,Basic
437,rebecca clark,raymond81@example.net,United Kingdom,2023-10-27,880.00,11,1,80.0,0.0909,1,Basic
438,Kristen Dennis,johnharris@example.net,Canada,2023-12-16,473.00,7,0,67.57,0.0,1,Basic
439,CAROL NOVAK,alexiskennedy@example.com,United Kingdom,2024-11-08,913.00,7,0,130.43,0.0,1,Pro
440,jessica webster,slittle@example.com,United States,,801.00,10,1,80.1,0.1,1,Pro
441,Karen Phelps,kayla12@example.net,United Kingdom,2023-07-08,1212.00,18,0,67.33,0.0,1,Basic
444,Christopher Bush,taylorregina@example.org,United States,,1353.00,17,0,79.59,0.0,1,Pro
445,STEPHANIE CASTRO,charleswoodward@example.net,United States,2024-07-05,689.00,11,0,62.64,0.0,1,Pro
446,patricia frye,zmolina@example.com,Canada,2026-05-14,959.00,11,0,87.18,0.0,1,Basic
449,shaun burns,karen60@example.com,Canada,2024-03-06,552.00,9,1,61.33,0.1111,1,Basic
451,JAMES WILLIAMS,andrewmcgrath@example.net,Canada,2023-08-30,1034.00,16,0,64.63,0.0,1,Basic
452,vanessa nichols,victor16@example.org,United Kingdom,,1137.00,13,0,87.46,0.0,1,Basic
453,Samantha Jenkins,caseyjoseph@example.org,United States,2023-09-03,245.00,6,1,40.83,0.1667,1,Basic
455,timothy blake,ypayne@example.org,United States,2025-04-01,145.00,5,0,29.0,0.0,1,Basic
456,Michael Johnson,dwaller@example.net,United Kingdom,,630.00,11,1,57.27,0.0909,1,Pro
458,brittney elliott,onewton@example.net,United Kingdom,2024-12-25,502.00,9,1,55.78,0.1111,1,Basic
459,Suzanne Thomas,xjensen@example.org,United States,2025-03-06,436.00,6,2,72.67,0.3333,1,Basic
460,PAMELA ALVARADO,aprilwilliams@example.org,United States,,1034.00,16,0,64.63,0.0,1,Pro
462,Angelica Garcia,robertyoung@example.net,United States,2023-09-08,1266.00,14,0,90.43,0.0,1,Pro
464,deanna gill,william07@example.org,United Kingdom,,743.00,7,0,106.14,0.0,1,Basic
466,KARLA BRADFORD,lambdave@example.com,United States,2024-05-04,1075.00,15,0,71.67,0.0,1,Pro
468,Erika Brown,dominiquefarmer@example.org,United States,,947.00,13,0,72.85,0.0,1,Enterprise
469,KAREN CARTER,krobinson@example.com,Canada,2024-05-27,423.00,7,0,60.43,0.0,1,Basic
472,MATTHEW EVANS,matthewhenry@example.org,United Kingdom,,768.00,12,0,64.0,0.0,1,Pro
474,Michael Colon,gilbertjessica@example.com,Canada,2025-02-17,394.00,7,1,56.29,0.1429,1,Basic
477,Andrew Cox,danny44@example.com,United Kingdom,2025-03-24,369.00,11,0,33.55,0.0,1,Enterprise
479,catherine hancock,stephenreilly@example.org,United Kingdom,2025-08-13,1436.00,14,0,102.57,0.0,1,Enterprise
481,DANIELLE FRANK,nicholasmartinez@example.net,United States,2023-09-04,593.00,8,1,74.13,0.125,1,Enterprise
